"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error
,"California","06","2011","2011",38420,20046532,191.65,189.74,193.57,0.98,170.55,168.83,172.28,0.88
,"California","06","2012","2012",38530,20179883,190.93,189.03,192.84,0.97,169.00,167.29,170.71,0.87
,"California","06","2013","2013",38404,20356297,188.66,186.77,190.55,0.96,166.34,164.65,168.02,0.86
,"California","06","2014","2014",38571,20661868,186.68,184.81,188.54,0.95,163.84,162.18,165.50,0.85
,"California","06","2015","2015",38820,20900046,185.74,183.89,187.59,0.94,162.20,160.56,163.85,0.84
,"California","06","2016","2016",39333,20961732,187.64,185.79,189.50,0.95,163.19,161.54,164.83,0.84
,"California","06","2017","2017",38459,21172207,181.65,179.83,183.46,0.93,157.79,156.18,159.40,0.82
,"California","06","2018","2018",38414,21152670,181.60,179.79,183.42,0.93,157.90,156.29,159.52,0.82
,"California","06","2019","2019",37675,21101432,178.54,176.74,180.35,0.92,155.66,154.05,157.26,0.82
"Total","California","06",,,384194,206322118,186.21,185.62,186.80,0.30,163.69,163.16,164.21,0.27
,"Colorado","08","2010","2010",4731,2766264,171.02,166.15,175.90,2.49,148.76,144.47,153.05,2.19
,"Colorado","08","2011","2011",4888,2810124,173.94,169.07,178.82,2.49,149.52,145.26,153.78,2.17
,"Colorado","08","2012","2012",4784,2836313,168.67,163.89,173.45,2.44,144.32,140.15,148.48,2.12
,"Colorado","08","2013","2013",4806,2867753,167.59,162.85,172.33,2.42,143.09,138.96,147.21,2.11
,"Colorado","08","2014","2014",4993,2906081,171.81,167.05,176.58,2.43,147.39,143.21,151.57,2.13
,"Colorado","08","2015","2015",5053,2956802,170.89,166.18,175.61,2.40,145.35,141.24,149.45,2.09
,"Colorado","08","2016","2016",5163,3001518,172.01,167.32,176.71,2.39,147.16,143.04,151.28,2.10
,"Colorado","08","2017","2017",5021,3052049,164.51,159.96,169.06,2.32,140.66,136.68,144.65,2.03
,"Colorado","08","2018","2018",4906,3095272,158.50,154.06,162.94,2.26,137.01,133.08,140.94,2.01
,"Colorado","08","2019","2019",4936,3130588,157.67,153.27,162.07,2.24,137.20,133.28,141.13,2.00
"Total","Colorado","08",,,49281,29422764,167.49,166.01,168.97,0.75,143.99,142.70,145.29,0.66
,"Connecticut","09","2010","2010",3701,1923864,192.37,186.18,198.57,3.16,157.60,152.44,162.77,2.63
,"Connecticut","09","2011","2011",3718,1930902,192.55,186.36,198.74,3.16,155.65,150.54,160.76,2.61
,"Connecticut","09","2012","2012",3687,1927009,191.33,185.16,197.51,3.15,153.87,148.78,158.95,2.59
,"Connecticut","09","2013","2013",3677,1920952,191.42,185.23,197.60,3.16,152.26,147.20,157.31,2.58
,"Connecticut","09","2014","2014",3519,1915272,183.73,177.66,189.80,3.10,143.70,138.81,148.59,2.50
,"Connecticut","09","2015","2015",3550,1907806,186.08,179.96,192.20,3.12,143.52,138.64,148.41,2.49
,"Connecticut","09","2016","2016",3590,1893731,189.57,183.37,195.77,3.16,146.05,141.08,151.02,2.54
,"Connecticut","09","2017","2017",3472,1889765,183.73,177.62,189.84,3.12,140.81,135.91,145.70,2.50
,"Connecticut","09","2018","2018",3565,1875482,190.08,183.84,196.32,3.18,145.32,140.33,150.30,2.54
,"Connecticut","09","2019","2019",3448,1865530,184.83,178.66,191.00,3.15,140.82,135.90,145.74,2.51
"Total","Connecticut","09",,,35927,19050313,188.59,186.64,190.54,0.99,148.07,146.49,149.65,0.81
,"Delaware","10","2010","2010",1306,471987,276.70,261.70,291.71,7.66,230.88,218.10,243.66,6.52
,"Delaware","10","2011","2011",1295,477333,271.30,256.52,286.08,7.54,223.12,210.66,235.59,6.36
,"Delaware","10","2012","2012",1287,477907,269.30,254.59,284.01,7.51,220.12,207.76,232.49,6.31
,"Delaware","10","2013","2013",1378,482572,285.55,270.48,300.63,7.69,230.16,217.64,242.67,6.39
,"Delaware","10","2014","2014",1261,487746,258.54,244.27,272.81,7.28,205.08,193.40,216.76,5.96
,"Delaware","10","2015","2015",1282,493133,259.97,245.74,274.20,7.26,206.27,194.55,217.99,5.98
,"Delaware","10","2016","2016",1288,495257,260.07,245.86,274.27,7.25,206.41,194.62,218.19,6.01
,"Delaware","10","2017","2017",1335,498353,267.88,253.51,282.25,7.33,208.24,196.58,219.90,5.95
,"Delaware","10","2018","2018",1264,498661,253.48,239.50,267.45,7.13,201.33,189.69,212.97,5.94
,"Delaware","10","2019","2019",1280,498792,256.62,242.56,270.68,7.17,200.68,189.08,212.28,5.92
"Total","Delaware","10",,,12976,4881741,265.81,261.23,270.38,2.33,213.24,209.44,217.04,1.94
,"District of Columbia","11","2010","2010",1052,345084,304.85,286.43,323.28,9.40,311.70,292.62,330.78,9.74
,"District of Columbia","11","2011","2011",1053,358268,293.91,276.16,311.67,9.06,301.78,283.25,320.31,9.45
,"District of Columbia","11","2012","2012",1004,368462,272.48,255.63,289.34,8.60,285.09,267.17,303.02,9.15
,"District of Columbia","11","2013","2013",1020,380571,268.02,251.57,284.47,8.39,282.84,265.21,300.47,8.99
,"District of Columbia","11","2014","2014",1079,388271,277.90,261.32,294.48,8.46,295.79,277.87,313.71,9.14
,"District of Columbia","11","2015","2015",1076,395466,272.08,255.83,288.34,8.29,287.93,270.47,305.39,8.91
,"District of Columbia","11","2016","2016",1054,401445,262.55,246.70,278.40,8.09,281.11,263.88,298.33,8.79
,"District of Columbia","11","2017","2017",974,410982,236.99,222.11,251.88,7.59,259.93,243.32,276.53,8.47
,"District of Columbia","11","2018","2018",997,415516,239.94,225.05,254.84,7.60,263.89,247.23,280.55,8.50
,"District of Columbia","11","2019","2019",926,417672,221.71,207.43,235.99,7.29,247.61,231.40,263.82,8.27
"Total","District of Columbia","11",,,10235,3881737,263.67,258.56,268.78,2.61,281.36,275.83,286.90,2.82
,"Florida","12","2010","2010",25805,9799960,263.32,260.10,266.53,1.64,216.65,213.95,219.35,1.38
,"Florida","12","2011","2011",25828,9931303,260.07,256.89,263.24,1.62,211.74,209.10,214.39,1.35
,"Florida","12","2012","2012",26173,10014388,261.35,258.19,264.52,1.62,212.39,209.75,215.03,1.35
,"Florida","12","2013","2013",26465,10096320,262.13,258.97,265.28,1.61,212.05,209.43,214.68,1.34
,"Florida","12","2014","2014",26867,10264799,261.74,258.61,264.87,1.60,210.74,208.14,213.33,1.32
,"Florida","12","2015","2015",27301,10464952,260.88,257.79,263.97,1.58,208.96,206.40,211.52,1.31
,"Florida","12","2016","2016",27850,10631187,261.97,258.89,265.04,1.57,209.65,207.10,212.20,1.30
,"Florida","12","2017","2017",27958,10825994,258.25,255.22,261.28,1.54,205.14,202.64,207.63,1.27
,"Florida","12","2018","2018",27718,10957992,252.95,249.97,255.93,1.52,200.57,198.11,203.02,1.25
,"Florida","12","2019","2019",27482,11007703,249.66,246.71,252.61,1.51,197.59,195.15,200.02,1.24
"Total","Florida","12",,,269447,103994598,259.10,258.12,260.08,0.50,208.50,207.68,209.31,0.41
,"Georgia","13","2010","2010",13974,5193909,269.05,264.59,273.51,2.28,242.11,238.07,246.16,2.06
,"Georgia","13","2011","2011",13976,5252706,266.07,261.66,270.48,2.25,235.93,231.97,239.88,2.02
,"Georgia","13","2012","2012",13913,5273839,263.81,259.43,268.20,2.24,232.14,228.24,236.05,1.99
,"Georgia","13","2013","2013",14389,5289140,272.05,267.60,276.49,2.27,237.61,233.67,241.54,2.01
,"Georgia","13","2014","2014",14564,5330954,273.20,268.76,277.63,2.26,237.30,233.39,241.21,2.00
,"Georgia","13","2015","2015",14686,5388757,272.53,268.12,276.94,2.25,235.03,231.17,238.90,1.97
,"Georgia","13","2016","2016",14951,5438779,274.90,270.49,279.30,2.25,235.42,231.57,239.26,1.96
,"Georgia","13","2017","2017",14841,5503440,269.67,265.33,274.01,2.21,229.65,225.88,233.42,1.92
,"Georgia","13","2018","2018",14972,5542968,270.11,265.78,274.43,2.21,229.88,226.12,233.64,1.92
,"Georgia","13","2019","2019",14795,5581400,265.08,260.81,269.35,2.18,225.11,221.40,228.83,1.89
"Total","Georgia","13",,,145061,53795892,269.65,268.26,271.04,0.71,233.96,232.74,235.18,0.62
,"Hawaii","15","2010","2010",1459,731033,199.58,189.34,209.82,5.23,166.92,158.14,175.70,4.48
,"Hawaii","15","2011","2011",1548,735540,210.46,199.97,220.94,5.35,175.89,166.87,184.91,4.60
,"Hawaii","15","2012","2012",1552,741631,209.27,198.86,219.68,5.31,175.59,166.58,184.61,4.60
,"Hawaii","15","2013","2013",1511,740204,204.13,193.84,214.43,5.25,173.43,164.42,182.45,4.60
,"Hawaii","15","2014","2014",1633,744836,219.24,208.61,229.88,5.43,186.12,176.81,195.43,4.75
,"Hawaii","15","2015","2015",1569,747678,209.85,199.47,220.23,5.30,178.53,169.42,187.64,4.65
,"Hawaii","15","2016","2016",1551,747808,207.41,197.08,217.73,5.27,173.71,164.76,182.66,4.57
,"Hawaii","15","2017","2017",1554,744051,208.86,198.47,219.24,5.30,178.50,169.31,187.70,4.69
,"Hawaii","15","2018","2018",1514,734867,206.02,195.65,216.40,5.29,171.66,162.72,180.61,4.56
,"Hawaii","15","2019","2019",1540,728682,211.34,200.78,221.90,5.39,180.10,170.79,189.41,4.75
"Total","Hawaii","15",,,15431,7396330,208.63,205.34,211.92,1.68,176.08,173.22,178.95,1.46
,"Idaho","16","2010","2010",1527,789424,193.43,183.73,203.13,4.95,165.09,156.65,173.54,4.31
,"Idaho","16","2011","2011",1584,797559,198.61,188.83,208.39,4.99,166.85,158.43,175.27,4.30
,"Idaho","16","2012","2012",1563,799650,195.46,185.77,205.15,4.94,163.58,155.26,171.91,4.25
,"Idaho","16","2013","2013",1716,805536,213.03,202.95,223.11,5.14,176.50,167.91,185.09,4.38
,"Idaho","16","2014","2014",1677,813969,206.03,196.17,215.89,5.03,170.12,161.73,178.50,4.28
,"Idaho","16","2015","2015",1671,822675,203.12,193.38,212.86,4.97,165.68,157.48,173.88,4.18
,"Idaho","16","2016","2016",1711,834415,205.05,195.34,214.77,4.96,165.60,157.49,173.70,4.14
,"Idaho","16","2017","2017",1684,849456,198.24,188.78,207.71,4.83,161.65,153.66,169.63,4.07
,"Idaho","16","2018","2018",1682,866186,194.18,184.90,203.46,4.73,160.98,153.02,168.94,4.06
,"Idaho","16","2019","2019",1577,883788,178.44,169.63,187.24,4.49,145.83,138.39,153.27,3.80
"Total","Idaho","16",,,16392,8262658,198.39,195.35,201.42,1.55,164.11,161.52,166.69,1.32
,"Illinois","17","2010","2010",16249,6845933,237.35,233.70,241.00,1.86,207.15,203.93,210.38,1.64
,"Illinois","17","2011","2011",16132,6880302,234.47,230.85,238.08,1.85,201.16,198.00,204.31,1.61
,"Illinois","17","2012","2012",16311,6862106,237.70,234.05,241.34,1.86,202.12,198.97,205.28,1.61
,"Illinois","17","2013","2013",16161,6855616,235.73,232.10,239.37,1.85,198.30,195.18,201.41,1.59
,"Illinois","17","2014","2014",16224,6851413,236.80,233.15,240.44,1.86,197.25,194.15,200.35,1.58
,"Illinois","17","2015","2015",16185,6835197,236.79,233.14,240.44,1.86,195.62,192.53,198.71,1.58
,"Illinois","17","2016","2016",15630,6789655,230.20,226.59,233.81,1.84,189.12,186.07,192.17,1.56
,"Illinois","17","2017","2017",15177,6764337,224.37,220.80,227.94,1.82,183.15,180.15,186.16,1.53
,"Illinois","17","2018","2018",15504,6714543,230.90,227.27,234.54,1.85,188.29,185.23,191.35,1.56
,"Illinois","17","2019","2019",15021,6653303,225.77,222.16,229.38,1.84,185.75,182.68,188.82,1.57
"Total","Illinois","17",,,158594,68052405,233.05,231.90,234.19,0.59,194.91,193.93,195.89,0.50
,"Indiana","18","2010","2010",9444,3384086,279.07,273.44,284.70,2.87,234.80,229.99,239.61,2.45
,"Indiana","18","2011","2011",9654,3403591,283.64,277.98,289.30,2.89,235.98,231.17,240.79,2.45
,"Indiana","18","2012","2012",9638,3394229,283.95,278.28,289.62,2.89,234.78,229.99,239.57,2.45
,"Indiana","18","2013","2013",9686,3403429,284.60,278.93,290.26,2.89,233.23,228.46,237.99,2.43
,"Indiana","18","2014","2014",9808,3404101,288.12,282.42,293.83,2.91,235.50,230.71,240.30,2.45
,"Indiana","18","2015","2015",9824,3408353,288.23,282.53,293.93,2.91,233.75,228.98,238.51,2.43
,"Indiana","18","2016","2016",9940,3404784,291.94,286.20,297.68,2.93,236.31,231.51,241.11,2.45
,"Indiana","18","2017","2017",9881,3410645,289.71,284.00,295.42,2.91,234.90,230.10,239.70,2.45
,"Indiana","18","2018","2018",9748,3412750,285.63,279.96,291.31,2.89,229.01,224.29,233.72,2.40
,"Indiana","18","2019","2019",9630,3418757,281.68,276.06,287.31,2.87,227.93,223.21,232.66,2.41
"Total","Indiana","18",,,97253,34044725,285.66,283.87,287.46,0.92,233.71,232.20,235.23,0.77
,"Iowa","19","2010","2010",3558,1559607,228.13,220.64,235.63,3.82,187.97,181.65,194.30,3.23
,"Iowa","19","2011","2011",3640,1569551,231.91,224.38,239.45,3.84,186.58,180.35,192.81,3.18
,"Iowa","19","2012","2012",3704,1566638,236.43,228.82,244.04,3.88,188.29,182.04,194.54,3.19
,"Iowa","19","2013","2013",3720,1568189,237.22,229.59,244.84,3.89,189.36,183.07,195.66,3.21
,"Iowa","19","2014","2014",3685,1569386,234.81,227.22,242.39,3.87,186.04,179.81,192.26,3.17
,"Iowa","19","2015","2015",3705,1570047,235.98,228.38,243.58,3.88,184.78,178.59,190.96,3.16
,"Iowa","19","2016","2016",3736,1567650,238.32,230.68,245.96,3.90,186.12,179.90,192.34,3.17
,"Iowa","19","2017","2017",3763,1567169,240.11,232.44,247.79,3.91,188.47,182.19,194.75,3.20
,"Iowa","19","2018","2018",3709,1566518,236.77,229.15,244.39,3.89,186.49,180.22,192.76,3.20
,"Iowa","19","2019","2019",3844,1561570,246.16,238.38,253.94,3.97,192.81,186.44,199.18,3.25
"Total","Iowa","19",,,37064,15666325,236.58,234.18,238.99,1.23,187.88,185.90,189.86,1.01
,"Kansas","20","2010","2010",3420,1461904,233.94,226.10,241.78,4.00,197.26,190.53,203.99,3.43
,"Kansas","20","2011","2011",3517,1471460,239.01,231.11,246.91,4.03,199.08,192.35,205.81,3.43
,"Kansas","20","2012","2012",3481,1470390,236.74,228.88,244.60,4.01,196.80,190.09,203.50,3.42
,"Kansas","20","2013","2013",3453,1464527,235.78,227.91,243.64,4.01,194.72,188.04,201.40,3.41
,"Kansas","20","2014","2014",3570,1463761,243.89,235.89,251.89,4.08,199.00,192.27,205.73,3.43
,"Kansas","20","2015","2015",3623,1461437,247.91,239.83,255.98,4.12,201.93,195.13,208.72,3.47
,"Kansas","20","2016","2016",3514,1458212,240.98,233.01,248.95,4.07,193.02,186.40,199.64,3.38
,"Kansas","20","2017","2017",3625,1454753,249.18,241.07,257.30,4.14,199.18,192.45,205.92,3.44
,"Kansas","20","2018","2018",3600,1448568,248.52,240.40,256.64,4.14,198.35,191.61,205.09,3.44
,"Kansas","20","2019","2019",3646,1443417,252.60,244.40,260.79,4.18,201.53,194.72,208.35,3.48
"Total","Kansas","20",,,35449,14598429,242.83,240.30,245.36,1.29,198.31,196.18,200.44,1.09
,"Kentucky","21","2010","2010",7670,2324968,329.90,322.51,337.28,3.77,276.24,269.95,282.54,3.21
,"Kentucky","21","2011","2011",7810,2337210,334.16,326.75,341.57,3.78,277.20,270.92,283.49,3.21
,"Kentucky","21","2012","2012",7939,2323637,341.66,334.15,349.18,3.83,280.67,274.34,286.99,3.23
,"Kentucky","21","2013","2013",7807,2320105,336.49,329.03,343.96,3.81,274.29,268.04,280.54,3.19
,"Kentucky","21","2014","2014",8078,2316114,348.77,341.17,356.38,3.88,284.96,278.56,291.36,3.26
,"Kentucky","21","2015","2015",8342,2316881,360.05,352.33,367.78,3.94,290.06,283.64,296.47,3.27
,"Kentucky","21","2016","2016",8371,2315663,361.49,353.75,369.24,3.95,292.47,285.99,298.95,3.31
,"Kentucky","21","2017","2017",8354,2313885,361.04,353.30,368.78,3.95,290.97,284.51,297.44,3.30
,"Kentucky","21","2018","2018",8259,2311215,357.34,349.64,365.05,3.93,286.71,280.30,293.13,3.27
,"Kentucky","21","2019","2019",8159,2300284,354.70,347.00,362.39,3.93,283.79,277.39,290.19,3.26
"Total","Kentucky","21",,,80789,23179962,348.53,346.13,350.93,1.23,283.89,281.88,285.91,1.03
,"Louisiana","22","2010","2010",8081,2382969,339.11,331.72,346.51,3.77,293.46,286.94,299.99,3.33
,"Louisiana","22","2011","2011",7989,2407356,331.86,324.58,339.14,3.71,283.50,277.14,289.86,3.25
,"Louisiana","22","2012","2012",8246,2413029,341.73,334.35,349.10,3.76,291.05,284.61,297.49,3.29
,"Louisiana","22","2013","2013",8500,2425785,350.40,342.95,357.85,3.80,296.85,290.37,303.33,3.31
,"Louisiana","22","2014","2014",8625,2436696,353.96,346.49,361.43,3.81,299.79,293.28,306.31,3.33
,"Louisiana","22","2015","2015",8520,2447021,348.18,340.79,355.57,3.77,291.90,285.50,298.29,3.26
,"Louisiana","22","2016","2016",8396,2450741,342.59,335.26,349.92,3.74,287.04,280.69,293.39,3.24
,"Louisiana","22","2017","2017",8331,2443400,340.96,333.64,348.28,3.74,284.94,278.60,291.28,3.24
,"Louisiana","22","2018","2018",8081,2420280,333.89,326.61,341.17,3.71,277.02,270.75,283.29,3.20
,"Louisiana","22","2019","2019",7822,2401099,325.77,318.55,332.99,3.68,268.90,262.71,275.09,3.16
"Total","Louisiana","22",,,82591,24228376,340.89,338.56,343.21,1.19,287.77,285.75,289.79,1.03
,"Maine","23","2010","2010",1769,726676,243.44,232.09,254.78,5.79,182.16,173.40,190.93,4.47
,"Maine","23","2011","2011",1746,726805,240.23,228.96,251.50,5.75,179.03,170.27,187.80,4.47
,"Maine","23","2012","2012",1725,721205,239.18,227.90,250.47,5.76,176.36,167.65,185.06,4.44
,"Maine","23","2013","2013",1712,718164,238.39,227.09,249.68,5.76,175.67,166.93,184.41,4.46
,"Maine","23","2014","2014",1750,714983,244.76,233.29,256.23,5.85,179.23,170.39,188.07,4.51
,"Maine","23","2015","2015",1765,711658,248.01,236.44,259.58,5.90,180.36,171.46,189.26,4.54
,"Maine","23","2016","2016",1788,708799,252.26,240.56,263.95,5.97,182.84,173.83,191.84,4.59
,"Maine","23","2017","2017",1802,707397,254.74,242.98,266.50,6.00,180.38,171.55,189.20,4.50
,"Maine","23","2018","2018",1776,704877,251.96,240.24,263.68,5.98,181.56,172.55,190.56,4.60
,"Maine","23","2019","2019",1774,703173,252.28,240.54,264.03,5.99,184.26,175.08,193.44,4.68
"Total","Maine","23",,,17607,7143737,246.47,242.83,250.11,1.86,180.12,177.32,182.92,1.43
,"Maryland","24","2010","2010",7732,3155586,245.03,239.56,250.49,2.79,208.74,204.03,213.45,2.41
,"Maryland","24","2011","2011",7634,3190324,239.29,233.92,244.65,2.74,201.67,197.07,206.28,2.35
,"Maryland","24","2012","2012",7751,3210004,241.46,236.09,246.84,2.74,202.79,198.19,207.39,2.35
,"Maryland","24","2013","2013",7767,3225232,240.82,235.46,246.18,2.73,201.13,196.57,205.70,2.33
,"Maryland","24","2014","2014",7800,3241388,240.64,235.30,245.98,2.72,200.53,195.98,205.08,2.32
,"Maryland","24","2015","2015",7659,3254482,235.34,230.07,240.61,2.69,193.85,189.40,198.30,2.27
,"Maryland","24","2016","2016",7777,3244648,239.69,234.36,245.01,2.72,196.02,191.54,200.50,2.29
,"Maryland","24","2017","2017",7605,3259312,233.33,228.09,238.58,2.68,189.99,185.59,194.39,2.24
,"Maryland","24","2018","2018",7543,3240074,232.80,227.55,238.06,2.68,189.29,184.88,193.70,2.25
,"Maryland","24","2019","2019",7396,3225448,229.30,224.08,234.53,2.67,185.52,181.14,189.90,2.23
"Total","Maryland","24",,,76664,32246498,237.74,236.06,239.43,0.86,196.96,195.53,198.39,0.73
,"Massachusetts","25","2010","2010",6991,3548094,197.04,192.42,201.65,2.36,164.38,160.47,168.29,2.00
,"Massachusetts","25","2011","2011",6924,3581045,193.35,188.80,197.91,2.32,159.58,155.75,163.42,1.96
,"Massachusetts","25","2012","2012",6701,3600674,186.10,181.65,190.56,2.27,152.86,149.12,156.60,1.91
,"Massachusetts","25","2013","2013",6764,3618695,186.92,182.46,191.37,2.27,152.72,148.98,156.45,1.90
,"Massachusetts","25","2014","2014",6745,3640043,185.30,180.88,189.72,2.26,150.19,146.51,153.87,1.88
,"Massachusetts","25","2015","2015",6734,3661088,183.93,179.54,188.33,2.24,148.08,144.43,151.72,1.86
,"Massachusetts","25","2016","2016",6491,3655462,177.57,173.25,181.89,2.20,142.53,138.95,146.11,1.83
,"Massachusetts","25","2017","2017",6614,3680856,179.69,175.36,184.02,2.21,144.45,140.85,148.06,1.84
,"Massachusetts","25","2018","2018",6482,3694263,175.46,171.19,179.73,2.18,140.41,136.86,143.95,1.81
,"Massachusetts","25","2019","2019",6519,3679650,177.16,172.86,181.46,2.19,142.30,138.71,145.89,1.83
"Total","Massachusetts","25",,,66965,36359870,184.17,182.78,185.57,0.71,149.70,148.53,150.86,0.59
,"Michigan","26","2010","2010",14517,5204153,278.95,274.41,283.49,2.32,226.28,222.52,230.05,1.92
,"Michigan","26","2011","2011",14781,5198137,284.35,279.77,288.94,2.34,226.32,222.57,230.07,1.91
,"Michigan","26","2012","2012",14361,5175101,277.50,272.96,282.04,2.32,218.46,214.77,222.14,1.88
,"Michigan","26","2013","2013",14537,5157924,281.84,277.26,286.42,2.34,220.67,216.95,224.38,1.89
,"Michigan","26","2014","2014",14860,5152376,288.41,283.77,293.05,2.37,224.16,220.42,227.91,1.91
,"Michigan","26","2015","2015",14648,5157183,284.03,279.43,288.63,2.35,220.26,216.54,223.98,1.90
,"Michigan","26","2016","2016",14761,5149843,286.63,282.01,291.25,2.36,221.10,217.38,224.83,1.90
,"Michigan","26","2017","2017",14290,5147659,277.60,273.05,282.15,2.32,214.05,210.37,217.72,1.87
,"Michigan","26","2018","2018",14280,5152704,277.14,272.59,281.68,2.32,215.87,212.16,219.59,1.89
,"Michigan","26","2019","2019",13881,5132000,270.48,265.98,274.98,2.30,209.10,205.45,212.75,1.86
"Total","Michigan","26",,,144916,51627080,280.70,279.25,282.14,0.74,219.79,218.61,220.96,0.60
,"Minnesota","27","2010","2010",4860,2833942,171.49,166.67,176.31,2.46,145.27,141.12,149.42,2.12
