state,state_fips,state_id,year,first_treat_year,gname,treated_post,event_time,population,deaths_allcause,deaths_amenable,deaths_nonamenable,deaths_external,crude_allcause,crude_amenable,crude_nonamenable,crude_external,aa_allcause,aa_amenable,aa_nonamenable,aa_external,log_median_income,poverty_rate,unemployment_rate,pct_black,pct_hispanic
Alabama,1,1,2010,0,0,0,NA,2510310,13423,8392,5031,2124,534.7148360162689,334.30134126860827,200.41349474766065,84.61106397217873,468.47,280.8,187.67,85.65,10.608415071631605,0.19033548533631028,0.11825240797644425,0.2625888711633006,0.03819929291759886
Alabama,1,1,2011,0,0,0,NA,2518131,13770,8512,5258,2196,546.8341400824659,338.0284822354357,208.8056578470302,87.207536065439,473.48,279.36,194.12,88.01,10.631398413032365,0.19040193814731224,0.11575667469038461,0.26544264315786403,0.03877036858126819
Alabama,1,1,2012,0,0,0,NA,2513296,13879,8564,5315,2062,552.2230568942139,340.7477670755852,211.4752898186286,82.04365900395338,479.08,282.54,196.53999999999996,83.63,10.635230250855436,0.18962570039630522,0.09984372505503351,0.26285212658670437,0.03845709570443774
Alabama,1,1,2013,0,0,0,NA,2515357,14086,8549,5537,2168,560.0000318046306,339.87223284806095,220.1277989565696,86.19054869746124,483.25,279.61,203.64,87.31,10.665437586530738,0.18730944285591605,0.09629148275077948,0.26486008090659746,0.03929352991338766
Alabama,1,1,2014,0,0,0,NA,2518038,14091,8546,5545,2230,559.6023570732451,339.391224437439,220.21113263580617,88.56101456769119,482.23,278.84,203.39000000000004,89.72,10.664994070609417,0.1925257675806216,0.08566295089644552,0.26513323257812293,0.03967788027204319
Alabama,1,1,2015,0,0,0,NA,2522661,14487,8676,5811,2387,574.2745458069871,343.9225484518134,230.35199735517375,94.62230557336083,493.87,280.34,213.53000000000003,96.06,10.709181863068256,0.18495658983437185,0.07168709291965734,0.2668628532866678,0.03969352409220126
Alabama,1,1,2016,0,0,0,NA,2522310,14652,8624,6028,2601,580.8960833521653,341.9088058168901,238.9872775352752,103.11975926828976,501.92,278.69,223.23,105.94,10.741968082839463,0.17088689690169148,0.06351721813482522,0.26619209178952563,0.04105977422737647
Alabama,1,1,2017,0,0,0,NA,2519274,14663,8581,6082,2664,582.0327602317176,340.6140022879607,241.4187579437568,105.744750273293,497.4,273.6,223.79999999999995,107.67,10.781515512284951,0.16888918814281145,0.058473594092025884,0.2671513003649215,0.041431893798796124
Alabama,1,1,2018,0,0,0,NA,2518479,14660,8685,5975,2571,582.0973690866591,344.85099935318107,237.246369733478,102.08542536983632,498.29,278.57,219.72000000000003,104.18,10.816994413033667,0.16802075977554184,0.05625463587588876,0.2656786564129863,0.043267303903887805
Alabama,1,1,2019,0,0,0,NA,2514818,14342,8256,6086,2562,570.2997195025644,328.2941350030101,242.00558449955423,101.87615962666084,488.55,264.16,224.39,104.76,10.853870484578053,0.1545705198666245,0.04927929984208126,0.26774861646052517,0.044725214324974484
